"PersonID","FullName","PreferredName","SearchName","IsPermittedToLogon","LogonName","IsExternalLogonProvider","IsSystemUser","IsEmployee","IsSalesperson","PhoneNumber","FaxNumber","EmailAddress","LastEditedBy","ValidFrom","ValidTo"
"11","Ethan Onslow","Ethan","Ethan Ethan Onslow","True","ethano@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","ethano@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"12","Henry Forlonge","Henry","Henry Henry Forlonge","True","henryf@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","henryf@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"13","Hudson Hollinworth","Hudson","Hudson Hudson Hollinworth","True","hudsonh@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","hudsonh@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"14","Lily Code","Lily","Lily Lily Code","True","lilyc@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","lilyc@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"15","Taj Shand","Taj","Taj Taj Shand","True","tajs@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","tajs@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"16","Archer Lamble","Archer","Archer Archer Lamble","False","archerl@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","archerl@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"17","Piper Koch","Piper","Piper Piper Koch","True","piperk@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","piperk@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"18","Katie Darwin","Katie","Katie Katie Darwin","True","katied@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","katied@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"19","Jai Shand","Jai","Jai Jai Shand","True","jais@wideworldimporters.com","False","True","True","False","(415) 555-0102","(415) 555-0103","jais@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"20","Jack Potter","Jack","Jack Jack Potter","True","jackp@wideworldimporters.com","False","True","True","True","(415) 555-0102","(415) 555-0103","jackp@wideworldimporters.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"21","Reio Kabin","Reio","Reio Reio Kabin","False","NO LOGON","False","False","False","False","(847) 555-0100","(847) 555-0101","reio@adatum.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"22","Oliver Kivi","Olly","Olly Oliver Kivi","False","NO LOGON","False","False","False","False","(847) 555-0100","(847) 555-0101","olly@adatum.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"23","Hanna Mihhailov","Hanna","Hanna Hanna Mihhailov","False","NO LOGON","False","False","False","False","(360) 555-0100","(360) 555-0101","hannam@contoso.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"24","Paulus Lippmaa","Paulus","Paulus Paulus Lippmaa","False","NO LOGON","False","False","False","False","(360) 555-0100","(360) 555-0101","paulusl@contoso.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"25","Kerstin Parn","Kerstin","Kerstin Kerstin Parn","False","NO LOGON","False","False","False","False","(415) 555-0100","(415) 555-0101","kerstin@consolidatedmessenger.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"26","Helen Ahven","Helen","Helen Helen Ahven","False","NO LOGON","False","False","False","False","(415) 555-0100","(415) 555-0101","helen@consolidatedmessenger.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"27","Bill Lawson","Bill","Bill Bill Lawson","False","NO LOGON","False","True","False","False","(203) 555-0107","(203) 555-0107","billl@fabrikam.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"28","Helen Moore","Helen","Helen Helen Moore","False","NO LOGON","False","True","False","False","(203) 555-0104","(203) 555-0107","helenm@fabrikam.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"29","Penny Buck","Penny","Penny Penny Buck","False","NO LOGON","False","True","False","False","(406) 555-0107","(406) 555-0109","pennyb@graphicdesigninstitute.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"30","Donna Smith","Donna","Donna Donna Smith","False","NO LOGON","False","True","False","False","(406) 555-0101","(406) 555-0109","donnas@graphicdesigninstitute.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"31","Madelaine  Cartier","Madelaine","Madelaine Madelaine  Cartier","False","NO LOGON","False","True","False","False","(423) 555-0101","(423) 555-0100","madelainec@humongousinsurance.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"32","Annette Talon","Annette","Annette Annette Talon","False","NO LOGON","False","True","False","False","(423) 555-0106","(423) 555-0100","annettet@humongousinsurance.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"33","Elias Myllari","Elias","Elias Elias Myllari","False","NO LOGON","False","True","False","False","(209) 555-0101","(209) 555-0106","eliasm@litwareinc.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"34","Vilma Niva","Vilma","Vilma Vilma Niva","False","NO LOGON","False","True","False","False","(209) 555-0103","(209) 555-0106","vilman@litwareinc.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"35","Prem Prabhu","Prem","Prem Prem Prabhu","False","NO LOGON","False","True","False","False","(423) 555-0102","(423) 555-0108","premp@lucernepublishing.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"36","Sunita Jadhav","Sunita","Sunita Sunita Jadhav","False","NO LOGON","False","True","False","False","(423) 555-0101","(423) 555-0108","sunitaj@lucernepublishing.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"37","Marcos Costa","Marcos","Marcos Marcos Costa","False","NO LOGON","False","True","False","False","(252) 555-0106","(252) 555-0101","marcosc@nodpublishers.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"38","Matheus Oliveira","Matheus","Matheus Matheus Oliveira","True","matheuso@nodpublishers.com","False","True","False","False","(252) 555-0107","(252) 555-0101","matheuso@nodpublishers.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"39","Eliza Soderberg","Eliza","Eliza Eliza Soderberg","True","elizas@northwindelectriccars.com","False","True","False","False","(201) 555-0101","(201) 555-0106","elizas@northwindelectriccars.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"40","Sara Karlsson","Sara","Sara Sara Karlsson","False","NO LOGON","False","True","False","False","(201) 555-0100","(201) 555-0106","sarak@northwindelectriccars.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"41","Donald Jones","Donald","Donald Donald Jones","False","NO LOGON","False","True","False","False","(605) 555-0101","(605) 555-0101","donaldj@treyresearch.net","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"42","Sharon Graham","Sharon","Sharon Sharon Graham","False","NO LOGON","False","True","False","False","(605) 555-0106","(605) 555-0101","sharong@treyresearch.net","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"43","Hai Dam","Hai","Hai Hai Dam","False","NO LOGON","False","True","False","False","(218) 555-0101","(218) 555-0108","haid@thephone-company.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"44","Thanh Dinh","Thanh","Thanh Thanh Dinh","False","NO LOGON","False","True","False","False","(218) 555-0104","(218) 555-0108","thanhd@thephone-company.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"45","Hubert Helms","Hubert","Hubert Hubert Helms","False","NO LOGON","False","True","False","False","(415) 555-0103","(415) 555-0104","huberth@woodgrovebank.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"46","Donald Small","Donald","Donald Donald Small","False","NO LOGON","False","True","False","False","(415) 555-0105","(415) 555-0104","donalds@woodgrovebank.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"1001","Waldemar Fisar","Waldemar","Waldemar Waldemar Fisar","True","waldemar@tailspintoys.com","False","False","False","False","(308) 555-0100","(308) 555-0101","waldemar@tailspintoys.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"1002","Laimonis Berzins","Laimonis","Laimonis Laimonis Berzins","False","NO LOGON","False","False","False","False","(308) 555-0100","(308) 555-0101","laimonis@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1003","Lorena Cindric","Lorena","Lorena Lorena Cindric","False","NO LOGON","False","False","False","False","(406) 555-0100","(406) 555-0101","lorena@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1004","Hung Van Groesen","Hung","Hung Hung Van Groesen","False","NO LOGON","False","False","False","False","(406) 555-0100","(406) 555-0101","hung@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1005","Bhaargav Rambhatla","Bhaargav","Bhaargav Bhaargav Rambhatla","False","NO LOGON","False","False","False","False","(480) 555-0100","(480) 555-0101","bhaargav@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1006","Mudar Jevtic","Mudar","Mudar Mudar Jevtic","False","NO LOGON","False","False","False","False","(480) 555-0100","(480) 555-0101","mudar@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1007","Daniel Roman","Daniel","Daniel Daniel Roman","False","NO LOGON","False","False","False","False","(316) 555-0100","(316) 555-0101","daniel@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1008","Leyla Radnia","Leyla","Leyla Leyla Radnia","False","NO LOGON","False","False","False","False","(316) 555-0100","(316) 555-0101","leyla@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1009","Johanna Huiting","Johanna","Johanna Johanna Huiting","False","NO LOGON","False","False","False","False","(212) 555-0100","(212) 555-0101","johanna@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1010","Robert Ruutli","Robert","Robert Robert Ruutli","False","NO LOGON","False","False","False","False","(212) 555-0100","(212) 555-0101","robert@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1011","Biswajeet Thakur","Biswajeet","Biswajeet Biswajeet Thakur","False","NO LOGON","False","False","False","False","(701) 555-0100","(701) 555-0101","biswajeet@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1012","Radha Shah","Radha","Radha Radha Shah","False","NO LOGON","False","False","False","False","(701) 555-0100","(701) 555-0101","radha@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1013","Kalidas Nadar","Kalidas","Kalidas Kalidas Nadar","False","NO LOGON","False","False","False","False","(423) 555-0100","(423) 555-0101","kalidas@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1014","Filip Nedvidek","Filip","Filip Filip Nedvidek","False","NO LOGON","False","False","False","False","(423) 555-0100","(423) 555-0101","filip@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1015","Kanti Kotadia","Kanti","Kanti Kanti Kotadia","False","NO LOGON","False","False","False","False","(303) 555-0100","(303) 555-0101","kanti@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1016","Hoa Cu","Hoa","Hoa Hoa Cu","False","NO LOGON","False","False","False","False","(303) 555-0100","(303) 555-0101","hoa@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1017","Sointu Aalto","Sointu","Sointu Sointu Aalto","False","NO LOGON","False","False","False","False","(201) 555-0100","(201) 555-0101","sointu@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1018","Jae-Gon Min","Jae-Gon","Jae-Gon Jae-Gon Min","False","NO LOGON","False","False","False","False","(201) 555-0100","(201) 555-0101","jae-gon@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1019","Siddhartha Parkar","Siddhartha","Siddhartha Siddhartha Parkar","False","NO LOGON","False","False","False","False","(701) 555-0100","(701) 555-0101","siddhartha@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1020","Paula Matos","Paula","Paula Paula Matos","False","NO LOGON","False","False","False","False","(701) 555-0100","(701) 555-0101","paula@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1021","Elnaz Javan","Elnaz","Elnaz Elnaz Javan","False","NO LOGON","False","False","False","False","(215) 555-0100","(215) 555-0101","elnaz@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1022","Jayashish Ghatak","Jayashish","Jayashish Jayashish Ghatak","False","NO LOGON","False","False","False","False","(215) 555-0100","(215) 555-0101","jayashish@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1023","Heloisa Fernandes","Heloisa","Heloisa Heloisa Fernandes","False","NO LOGON","False","False","False","False","(218) 555-0100","(218) 555-0101","heloisa@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1024","Amornrat Rattanaporn","Amornrat","Amornrat Amornrat Rattanaporn","False","NO LOGON","False","False","False","False","(218) 555-0100","(218) 555-0101","amornrat@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1025","Razeena Hosseini","Razeena","Razeena Razeena Hosseini","False","NO LOGON","False","False","False","False","(217) 555-0100","(217) 555-0101","razeena@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1026","Leticia Ribeiro","Leticia","Leticia Leticia Ribeiro","False","NO LOGON","False","False","False","False","(217) 555-0100","(217) 555-0101","leticia@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1027","Tereza Valentova","Tereza","Tereza Tereza Valentova","False","NO LOGON","False","False","False","False","(240) 555-0100","(240) 555-0101","tereza@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1028","Brijesh Ganguly","Brijesh","Brijesh Brijesh Ganguly","False","NO LOGON","False","False","False","False","(240) 555-0100","(240) 555-0101","brijesh@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1029","Filips Jaunzems","Filips","Filips Filips Jaunzems","False","NO LOGON","False","False","False","False","(210) 555-0100","(210) 555-0101","filips@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1030","Bharati Bhowmick","Bharati","Bharati Bharati Bhowmick","False","NO LOGON","False","False","False","False","(210) 555-0100","(210) 555-0101","bharati@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1031","Nitin Matondkar","Nitin","Nitin Nitin Matondkar","False","NO LOGON","False","False","False","False","(314) 555-0100","(314) 555-0101","nitin@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1032","Joy Dutta","Joy","Joy Joy Dutta","False","NO LOGON","False","False","False","False","(314) 555-0100","(314) 555-0101","joy@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1033","Adam Kubat","Adam","Adam Adam Kubat","False","NO LOGON","False","False","False","False","(216) 555-0100","(216) 555-0101","adam@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1034","Gulzar Naidu","Gulzar","Gulzar Gulzar Naidu","False","NO LOGON","False","False","False","False","(216) 555-0100","(216) 555-0101","gulzar@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1035","Isabelle Vodlan","Isabelle","Isabelle Isabelle Vodlan","False","NO LOGON","False","False","False","False","(603) 555-0100","(603) 555-0101","isabelle@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1036","Prakash Sarma","Prakash","Prakash Prakash Sarma","False","NO LOGON","False","False","False","False","(603) 555-0100","(603) 555-0101","prakash@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1037","Mithun Bhattacharya","Mithun","Mithun Mithun Bhattacharya","False","NO LOGON","False","False","False","False","(907) 555-0100","(907) 555-0101","mithun@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1038","Sandhya Raju","Sandhya","Sandhya Sandhya Raju","False","NO LOGON","False","False","False","False","(907) 555-0100","(907) 555-0101","sandhya@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1039","Nghi Hua","Nghi","Nghi Nghi Hua","False","NO LOGON","False","False","False","False","(206) 555-0100","(206) 555-0101","nghi@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1040","Ravindra Parkar","Ravindra","Ravindra Ravindra Parkar","False","NO LOGON","False","False","False","False","(206) 555-0100","(206) 555-0101","ravindra@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1041","Duleep Raju","Duleep","Duleep Duleep Raju","False","NO LOGON","False","False","False","False","(215) 555-0100","(215) 555-0101","duleep@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1042","Vlatka Duvnjak","Vlatka","Vlatka Vlatka Duvnjak","False","NO LOGON","False","False","False","False","(215) 555-0100","(215) 555-0101","vlatka@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1043","Cristina Longo","Cristina","Cristina Cristina Longo","False","NO LOGON","False","False","False","False","(239) 555-0100","(239) 555-0101","cristina@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1044","Antonio Lucchese","Antonio","Antonio Antonio Lucchese","False","NO LOGON","False","False","False","False","(239) 555-0100","(239) 555-0101","antonio@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1045","Hang Tang","Hang","Hang Hang Tang","False","NO LOGON","False","False","False","False","(907) 555-0100","(907) 555-0101","hang@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1046","Hong Ang","Hong","Hong Hong Ang","False","NO LOGON","False","False","False","False","(907) 555-0100","(907) 555-0101","hong@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1047","Intira Mookjai","Intira","Intira Intira Mookjai","False","NO LOGON","False","False","False","False","(252) 555-0100","(252) 555-0101","intira@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1048","Young-Tae Kim","Young-Tae","Young-Tae Young-Tae Kim","True","young-tae@tailspintoys.com","False","False","False","False","(252) 555-0100","(252) 555-0101","young-tae@tailspintoys.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"1049","Sulabha Khalsa","Sulabha","Sulabha Sulabha Khalsa","False","NO LOGON","False","False","False","False","(209) 555-0100","(209) 555-0101","sulabha@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1050","Alessandro Milano","Alessandro","Alessandro Alessandro Milano","False","NO LOGON","False","False","False","False","(209) 555-0100","(209) 555-0101","alessandro@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1051","Dhanishta Majji","Dhanishta","Dhanishta Dhanishta Majji","False","NO LOGON","False","False","False","False","(319) 555-0100","(319) 555-0101","dhanishta@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1052","Nils Podnieks","Nils","Nils Nils Podnieks","False","NO LOGON","False","False","False","False","(319) 555-0100","(319) 555-0101","nils@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1053","Paula Gonzales","Paula","Paula Paula Gonzales","False","NO LOGON","False","False","False","False","(218) 555-0100","(218) 555-0101","paula@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1054","Chetana Dewangan","Chetana","Chetana Chetana Dewangan","False","NO LOGON","False","False","False","False","(218) 555-0100","(218) 555-0101","chetana@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1055","Tatjana Utjesenovic","Tatjana","Tatjana Tatjana Utjesenovic","False","NO LOGON","False","False","False","False","(212) 555-0100","(212) 555-0101","tatjana@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1056","Theresa Boose","Theresa","Theresa Theresa Boose","False","NO LOGON","False","False","False","False","(212) 555-0100","(212) 555-0101","theresa@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1057","Karel Hanak","Karel","Karel Karel Hanak","True","karel@tailspintoys.com","False","False","False","False","(205) 555-0100","(205) 555-0101","karel@tailspintoys.com","1","2016-05-31 23:14:00.0000000","9999-12-31 23:59:59.9999999"
"1058","Fernanda Fierro","Fernanda","Fernanda Fernanda Fierro","False","NO LOGON","False","False","False","False","(205) 555-0100","(205) 555-0101","fernanda@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1059","Odessa Schneider","Odessa","Odessa Odessa Schneider","False","NO LOGON","False","False","False","False","(206) 555-0100","(206) 555-0101","odessa@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1060","Konrads Sprogis","Konrads","Konrads Konrads Sprogis","False","NO LOGON","False","False","False","False","(206) 555-0100","(206) 555-0101","konrads@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1061","Kimberly Pace","Kimberly","Kimberly Kimberly Pace","False","NO LOGON","False","False","False","False","(206) 555-0100","(206) 555-0101","kimberly@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1062","Shobha Gupta","Shobha","Shobha Shobha Gupta","False","NO LOGON","False","False","False","False","(206) 555-0100","(206) 555-0101","shobha@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1063","Nikolajs Kalejs","Nikolajs","Nikolajs Nikolajs Kalejs","False","NO LOGON","False","False","False","False","(210) 555-0100","(210) 555-0101","nikolajs@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1064","Philippe Lamy","Philippe","Philippe Philippe Lamy","False","NO LOGON","False","False","False","False","(210) 555-0100","(210) 555-0101","philippe@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1065","Haasini Rai","Haasini","Haasini Haasini Rai","False","NO LOGON","False","False","False","False","(803) 555-0100","(803) 555-0101","haasini@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1066","Viktorie Melicharova","Viktorie","Viktorie Viktorie Melicharova","False","NO LOGON","False","False","False","False","(803) 555-0100","(803) 555-0101","viktorie@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1067","Anjali Asthana","Anjali","Anjali Anjali Asthana","False","NO LOGON","False","False","False","False","(210) 555-0100","(210) 555-0101","anjali@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1068","Hanuman Negi","Hanuman","Hanuman Hanuman Negi","False","NO LOGON","False","False","False","False","(210) 555-0100","(210) 555-0101","hanuman@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1069","Shah Omidi","Shah","Shah Shah Omidi","False","NO LOGON","False","False","False","False","(304) 555-0100","(304) 555-0101","shah@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1070","Chandra Mittal","Chandra","Chandra Chandra Mittal","False","NO LOGON","False","False","False","False","(304) 555-0100","(304) 555-0101","chandra@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
"1071","Ferhat Celik","Ferhat","Ferhat Ferhat Celik","False","NO LOGON","False","False","False","False","(270) 555-0100","(270) 555-0101","ferhat@tailspintoys.com","1","2013-01-01 00:00:00.0000000","9999-12-31 23:59:59.9999999"
